task_id,task_type,required_skill_level,environment_risk,supervision_required,risk_label
T0095,Electrical,1,2,0,Low
T0096,Electrical,1,3,0,Medium
T0097,Electrical,3,2,1,Medium
T0098,Assembly,2,1,0,Low
T0099,Electrical,1,2,1,Low
T0100,Mechanical,3,1,0,Low
T0101,Chemical,3,2,1,Medium
T0102,Electrical,3,3,1,Medium
T0103,Electrical,2,3,1,Medium
T0104,Assembly,3,1,0,Low
T0105,Electrical,3,1,0,Low
T0106,Electrical,3,1,1,Low
T0107,Electrical,3,2,0,Medium
T0108,Assembly,1,2,1,Low
T0109,Electrical,1,1,0,Low
T0110,Chemical,3,3,1,High
T0111,Assembly,2,2,1,Low
T0112,Chemical,1,2,0,Low
T0113,Assembly,3,2,1,Medium
T0114,Electrical,1,1,0,Low
T0115,Chemical,1,1,1,Low
T0116,Assembly,2,1,1,Low
T0117,Mechanical,3,1,0,Low
T0118,Electrical,3,1,0,Low
T0119,Assembly,2,3,0,Low
T0120,Mechanical,2,3,1,Medium
T0121,Assembly,3,1,0,Low
T0122,Mechanical,3,2,1,Low
T0123,Electrical,2,1,1,Low
T0124,Chemical,1,3,0,Medium
T0125,Mechanical,1,3,0,Medium
T0126,Assembly,2,2,1,Low
T0127,Electrical,1,3,1,Low
T0128,Mechanical,2,1,0,Low
T0129,Assembly,1,2,0,Medium
T0130,Assembly,1,1,0,Low
T0131,Assembly,3,1,0,Low
T0132,Mechanical,3,2,0,Medium
T0133,Mechanical,1,1,1,Low
T0134,Mechanical,1,3,1,Low
T0135,Chemical,3,1,1,Medium
T0136,Mechanical,3,2,1,Low
T0137,Mechanical,3,2,0,Low
T0138,Mechanical,2,2,0,Low
T0139,Chemical,1,1,0,Low
T0140,Mechanical,3,2,1,Medium
T0141,Assembly,1,2,1,Low
T0142,Mechanical,2,1,0,Low
T0143,Assembly,2,3,0,Low
T0144,Assembly,3,1,1,Low
T0145,Assembly,2,2,1,Low
T0146,Chemical,1,2,0,Low
T0147,Chemical,3,1,0,Low
T0148,Chemical,1,3,1,Medium
T0149,Mechanical,1,2,0,Low
T0150,Assembly,2,2,0,Low
T0151,Chemical,2,2,0,Medium
T0152,Chemical,2,1,1,Low
T0153,Mechanical,2,2,1,Low
T0154,Chemical,2,3,1,Medium
T0155,Mechanical,3,2,1,Low
T0156,Electrical,1,2,1,Low
T0157,Chemical,1,3,1,Medium
T0158,Electrical,1,2,1,Low
T0159,Mechanical,1,1,0,Low
T0160,Assembly,2,1,0,Low
T0161,Chemical,1,1,0,Low
T0162,Mechanical,3,3,0,Medium
T0163,Assembly,3,2,0,Low
T0164,Assembly,1,1,0,Low
T0165,Electrical,1,3,0,Low
T0166,Mechanical,3,2,1,Low
T0167,Assembly,3,3,1,Medium
T0168,Chemical,2,1,0,Low
T0169,Chemical,3,1,0,Low
T0170,Electrical,2,1,1,Low
T0171,Assembly,2,3,0,Low
T0172,Mechanical,2,3,0,Medium
T0173,Chemical,2,1,1,Medium
T0174,Assembly,2,3,0,Low
T0175,Assembly,1,1,1,Low
T0176,Electrical,3,1,0,Low
T0177,Chemical,2,2,1,Medium
T0178,Chemical,3,3,1,High
T0179,Mechanical,3,1,1,Medium
T0180,Chemical,2,1,0,Low
T0181,Mechanical,1,3,1,Low
T0182,Chemical,2,2,0,Medium
T0183,Electrical,1,2,0,Low
T0184,Chemical,3,1,0,Low
T0185,Mechanical,1,3,0,Low
T0186,Mechanical,1,2,1,Low
T0187,Electrical,1,3,1,Medium
T0188,Chemical,3,3,0,High
T0189,Chemical,3,1,0,Low
T0190,Electrical,1,2,1,Low
T0191,Chemical,1,1,0,Low
T0192,Chemical,2,2,1,Medium
T0193,Mechanical,1,2,0,Low
T0194,Chemical,2,2,0,Medium
T0195,Chemical,1,2,1,Medium
T0196,Electrical,2,2,0,Low
T0197,Electrical,3,3,1,Low
T0198,Assembly,1,1,0,Low
T0199,Mechanical,1,3,0,Low
T0200,Chemical,1,2,0,Medium
